state,candidate,popular_votes,electoral_votes,total,percent_votes
Alabama,Donald Trump,1434159,9,2309900,0.6208749296506342
Alaska,Donald Trump,179080,3,334789,0.5349040739092383
Arizona,Joe Biden,1671491,11,3384972,0.49379758532714596
Arkansas,Donald Trump,758183,6,1211793,0.625670390900096
California,Joe Biden,10734181,55,16822143,0.638098308877769
Colorado,Joe Biden,1803419,9,3254844,0.554072330348244
Connecticut,Joe Biden,1079174,7,1821889,0.5923379525316855
Delaware,Joe Biden,296268,3,504010,0.5878216702049562
District of Columbia,Joe Biden,285728,3,309190,0.9241178563342928
Florida,Donald Trump,5667474,29,11075446,0.5117151941330399
Georgia,Joe Biden,2472182,16,4992709,0.49515844003726234
Hawaii,Joe Biden,366070,4,574341,0.6373739642477204
Idaho,Donald Trump,554128,4,868125,0.6383043916486681
Illinois,Joe Biden,4148322,20,7071730,0.5866063891013938
Indiana,Donald Trump,1729101,11,3034598,0.5697957357119461
Iowa,Donald Trump,897149,6,1687871,0.5315269946577671
Kansas,Donald Trump,753370,6,1334330,0.5646054574205781
Kentucky,Donald Trump,1326347,8,2135193,0.621183658807424
Louisiana,Donald Trump,1255776,8,2148062,0.5846088241400853
Maine,Joe Biden,420357,4,786337,0.5345761422901377
Maryland,Joe Biden,1872183,10,2875928,0.6509839606554824
Massachusetts,Joe Biden,2271849,11,3482407,0.652378943644439
Michigan,Joe Biden,2795975,16,5533239,0.5053053012891726
Minnesota,Joe Biden,1718739,10,3272487,0.5252088090800666
Mississippi,Donald Trump,705894,6,1197153,0.5896439302244575
Missouri,Donald Trump,1711848,10,3010316,0.5686605658675036
Montana,Donald Trump,343590,3,605738,0.5672254340985706
Nebraska,Donald Trump,553781,5,946256,0.5852338056509021
Nevada,Joe Biden,675224,6,1346514,0.5014608091709407
New Hampshire,Joe Biden,424937,4,804453,0.5282309842837307
New Jersey,Joe Biden,2389584,14,4187668,0.5706240322776304
New Mexico,Joe Biden,499688,5,921398,0.5423150473519587
New York,Joe Biden,3754965,29,6720336,0.5587466162406165
North Carolina,Donald Trump,2754822,15,5513240,0.49967387597855345
North Dakota,Donald Trump,235585,3,361808,0.651132644938752
Ohio,Donald Trump,3074400,18,5764587,0.5333252841877484
Oklahoma,Donald Trump,1020280,7,1560699,0.6537327184806295
Oregon,Joe Biden,1333012,7,2356788,0.565605391745036
Pennsylvania,Joe Biden,3412806,20,6848632,0.49831937239437013
Rhode Island,Joe Biden,306192,4,513602,0.5961659027807524
South Carolina,Donald Trump,1385103,9,2513329,0.5511029395674024
South Dakota,Donald Trump,261043,3,422609,0.6176938967225024
Tennessee,Donald Trump,1849820,11,3049514,0.6065950180914074
Texas,Donald Trump,5866019,38,11255671,0.5211611995411024
Utah,Donald Trump,848863,6,1463880,0.5798719840424078
Vermont,Joe Biden,242841,3,367761,0.6603228727352819
Virginia,Joe Biden,2413317,13,4442598,0.5432220065826348
Washington,Joe Biden,2356584,12,4033774,0.5842131958805823
West Virginia,Donald Trump,544826,5,793902,0.6862635438630964
Wisconsin,Joe Biden,1630619,10,3297174,0.49455048474845426
Wyoming,Donald Trump,193559,3,276765,0.6993622748541181
